English,Tulu
He asks in a lie that God Brahma told him to give me an axe as alms.,ಭಿಕ್ಷೆಯಾದ್ ಯೆಂಕ್ ಕೊರಿಯರ ಬ್ರಹ್ಮ ದೇವೆರ್ ಪಂಡೆರುಂದು ಸುಳ್ಳುಡು ಕೆಂಡೆ
God will let it go,ಆಯೆರೆ ದೈವ ದೇವೇರ್ ಬುಡುವೆರಾ
Arjuna is speaking,ಅರ್ಜುನೆ ಪನೊಂದುಲ್ಲೆ
Mahesh cleans the house,ಮಹೇಶೆ ಇಲ್ಲನ್ ಸ್ವಚ್ಛಮಲ್ಪುವೆ
Achintya is watching the film,ಅಚಿಂತ್ಯೆ ಚಿತ್ರೊನು ಗಮನಿಸೊಂದುಲ್ಲೆ
Setu left behind two,ಚೇತು ಪಿರ ರಡ್ಡ್ ಬುಡಿಯೆ
The essentials are gram flour and rice powder.,ಅಗತ್ಯದ ಪಂಡಾ ಪೊರಿತ ಉಂಡೆ ಅರಿತ ಪೊಡಿ
Vithoba doesn't care,ವಿಠ್ಠಲೆ  ಚಿಂತೆ-ಮಲ್ಪುಜೆ
It is said that the glory of a place is also art.,ಸ್ಥಳತ ಮಹಿಮೆಗುಲಾ ಕಲೆತಜಾಗ ಇಂದುದು ಪಣ್ಪೆರ್
Shyam is acting,ಶ್ಯಾಮೆ  ವರ್ತನೆ-ಮಲ್ತೊಂದುಲ್ಲೆ
The moon is watching the image,ಚಂದ್ರೆ ಚಿತ್ರೊನು ಗಮನಿಸೊಂದುಲ್ಲೆ
The mother who was in another town came to the house.,ಪರವೂರುಡು ಇತ್ತಿನಕುಳು ಬತ್ತೇರು ಇಲ್ಲಡು ಅಪ್ಪೆ
"Upon hearing this, Jima was angered by the seven worlds.",ಆ ಪಾತೆರ ಕೆನ್ನ ಜಿಮಾದಿಗ್ ಏಳ್ ಲೋಕದ ಕೆಂಡಮಂಡಲೊದ ಕೋಪ ಬತ್ತುಂಡು
The original format is getting used to,ಮೂಲ ಸ್ವರೂಪೊ ಕಳೆಯೊಂದು ಬರೊಂದುಂಡು
Bhootabrahmas is a natural force of Dravidian origin.,ಭೂತಬೆರ್ಮೆರ್ ಅವು ದ್ರಾವಿಡ ಮೂಲದ ಪ್ರಕೃತಿ ಸಕ್ತಿ
"Similarly, we have the Naga Brahma of Kemalaja in the story of Kotichennaiya.",ಅಂಚೆನೇ ನಂಕ್ ಕೋಟಿಚೆನ್ನಯೆರ್ನ ಕತೆಟ್ಟ್ ಕೆಮ್ಮಲಜೆದ ನಾಗ ಬೆರ್ಮೆರೆ
He looks back and asks in Brahma.,ಯಾನ್ ಮೂಲ್ ಎಂಚ ನಿಲೆಯಾವೊಡ್
"While more than 4 lakh beedi workers are without work in Udupi and Dakshina Kannada district due to the second wave of Covid, beedi workers are domestic workers.","ಕೋವಿಡ್ 2ನೇ ಅಲೆರ್ದಾವರ ಒಡಿಪು ಬೊಕ್ಕ ದಕ್ಷಿಣ ಕನ್ನಡ ಜಿಲ್ಲೆಡ್ ಸುಮಾರ್ 4 ಲಕ್ಷರ್ದ್ ಜಾಸ್ತಿ ಜನ ಬೀಡಿ ಕಾರ್ಮಿಕೆರ್ ಬೇಲೆ ಇಜ್ಜಂದೆ ಸಂಕಷ್ಟಗ್ ಬುರ್ನಗ, ಬೀಡಿ ಕಟ್ಟುನ ಕಾರ್ಮಿಕೆರ್ ಗೃಹ ಕಾರ್ಮಿಕೇರಾತೆರ್."
Look up the proverb on milking a jackfruit.,ಪೆಲಕಾಯಿ ಕುದುಪುಣ ಪೇರ್ ಬೊರಿಪಿನ ಮಿತ್ತುದ ಗಾದೆನು ತೂಲೆ
"There are some beliefs that animal birds are beneficial to humans, even if they do not have a mouth.",ಮುರ್ಗೊ ಪಕ್ಕಿಲೆಗ್‌ ಬಾಯಿ ಬತ್ತಿಜಿ೦ಂಡಲಾ ಅವು ನರಮಾನ್ಯಗ್‌ ಉಪಕಾರೂಗಾಪಪನ್ಚಿನೆಕ್‌ ಕೆಲವು ನಂಬಿಕೆಲುಲ್ಲ
He died from the idol he had carved,ತಾನ್ ಕೆತ್ತಿನ ಮೂರ್ತಿಡ್ದೇ ತನಕ್ ಸಾವು ಆಂಡ್
Bathing on the side of the river again on the side of a big stream,ಮೀದಾದ್ ತುದೆ ಬರಿಟ್ ಬೊಕ್ಕ ಮಲ್ಲ ಮಲ್ಲ ತೋಡು ಕೈಯೆಲೆಡ್
Tulu and Tulu wiki community will actively participate in it and develop the content of our language.,ಅಯಿಟ್ ತುಳು ಬುಕ್ಕ ತುಳು ವಿಕಿ ಸಮುದಾಯ ಸಕ್ರಿಯವಾತ್ ಪಾಲ್ ಪಡೆತ್ ನಮ್ಮ ಭಾಷೆತ ವಿಷಯ ಅಭಿವೃದ್ಧಿ ಮಾಲ್ಪುಗೊ.
"Thumbs-up is a small plant, so it is not possible to hold a meeting under it.",ತುಂಬೆ ಯೆಲ್ಯಾ ದೈಯಿ ಅಯೆನೆತತ್ರ ಅಯಿತ ಅಡಿಟ್ ಕೂಟ ನಡಪರ ಸಾದ್ಯನೆ ಇಜ್ಜಿ
Jackfruit is another Kalpavriksha,ಪೆಲಕಾಯಿ ಕುಡೊಂಜಿ ಕಲ್ಪವೃಕ್ಷ ಪಂದ್ ಪನೊಲಿ
There was no hospital in the past.,ಎಂಕ್ ತೆರಿದಿನಾವೆನ್ ನಿಕಲೆಗ್ ತೆರಿಪಾವುಣ ಪ್ರಯತ್ನ ಮಲ್ತುದೆ
"Today, the park has a variety of bamboo in the park",ಇನಿ ಪಾರ್ಕುಡ್ ಉದ್ಯಾನವನಟ್ ನಮೂನೆ ನಮೂನೆದ ಬೆದುರು ಉಂಡು
The humble cleans the house,ವಿನೀತೆ ಇಲ್ಲನ್ ಸ್ವಚ್ಛಮಲ್ಪುವೆ
"Similarly, Sri Veera Kallukutika settled in Sankaranarana, relieving all the sufferings of the devotees.",ಅಂಚನೇ ಶ್ರೀ ಶಂಕರನಾರಾಯಣಡ್ ಶ್ರೀ ವೀರ ಕಲ್ಲುಕುಟಿಕ ದ್ ನಿಲೆತ್ ಭಗ್ತೆರೆ ಸಕಲ ಬೇನೆಲೆನ್ ಗುಣ ಮಲ್ತೊಂದು
as a sister-in-law,ಆದ್ ತಂಗಡಿ ಪಲಿ
Darshana has tied a stopped watch,ದರ್ಶನೆ ಉಂತುದಿನ ಕೈ ಗಡಿಯಾಲ್ ಕಟ್ಟ್‍ದೆ
Ashwatthya releases an arrow,ಅಶ್ವಥೆ ಬಾಣ ಬುಡ್ಪೆ
He throws the net sticks all the way away,ಆಯೆ ಬಲೆ ಕೋಲುಲೆನು ಮಾತ ದೂರ ದಕ್ಕುವೆ
"Then Lord Brahma, yes, son of God, you are a Brahmin, and there will be no dearth of alms for you here.",ಅದಗ ಬ್ರಹ್ಮ ದೇವೆರು ಅಂದ ಮಗ ಈ ಬ್ರಾಹ್ಮಣ ಮಾನಿ ನಿಕ್ಕ್ ಮೂಲ್ ಭಿಕ್ಷೆಗ್ ಕೊರತೆ ಅವಂದ್
But now how many regular services are held in the city centre in a year?,ಆಂಡ ಇತ್ತೆ ಊರು ಕೆರಿಡ್ ಒರ್ಷಡು ಯೆತೊ ನೇಮ ನೆರಿ ಯೆತ್ ಸರ್ತಿ ನಡಪುಂಡು
Two wild boars who grew up powerfully eating gooseberry mangoes,ಗೋಂಕು ಕುಕ್ಕುನ್ ಪೆಜ್ಜಿದ್ ತಿಂದ್ಀದ್ ಬಲತ್ಀದ್ ಬುಲೆದಿತ್ತಿನ ರಡ್ಡ್ ಕಾಡ್ ಪಂಜಿಲು
There was a bad wind blowing to us when Parashurama said that this is the creation of God.,ನೆರೆ ಬರಂದ್ ಸೀಕ್ ಬರಂದ್ ಉಂದು ಪರಶುರಾಮ ಸೃಷ್ಟಿ ಪನೊಂದು ಇತ್ತಿನ ನಮಕ್ ಅಪಶಕುನ ಗಾಳಿ ಬೀಜಿದುಂಡ್
Ravish is scorching the ground,ರವೀಶೆ ನೆಲನ್ ತಟ್ಟ್ ಮಲ್ತೊಂದುಲ್ಲೆ
Light a bonfire in front of Homa's tank.,ಎದುರುಡು ಇತ್ತೀನ ಹೋಮದ ಕುಂಡೊಗು ಸಾನಾದಿಗೆರ್ದ್ ತೂತ್ತ ಬತ್ತೀನ್
The scent of jaggery being prepared here,ಜುಮಾದಿ ದುಂಬ್ ಪೋವೊಂದ್ ಬಟ್ಟ ಬೆರಿಕ್ಕ್ ಬರ್ಪೆ
Kritima as the Kritima-Goddess,ಕೃತಿಮೋಗು ಕೃತಿಮದೇವತೆಯಾದ್
Sujaya is the owner of the land,ಸುಜಯೆ ಆ ಭೂಮಿದ ಧನಿಯಾತೆ
Varuna is eating sweets,ವರುಣೆ ಚೀಪೆ ತಿನ್ನೊಂದುಲ್ಲೆ
"On the talk page of the same article, write down the information you need to add to the article and the work that needs to be done on it.",ಅವ್ವೇ ಲೇಕನೊದ ಪಟ್ಟಾಂಗೊ ಪುಟೊಡು ಲೇಕನೊಗು ಸೇರಾಯರ ಬೋಡಾಯಿನ ಮಾಹಿತಿದ ಬಗೆಟ್ ಅಯಿತ ಮಿತ್ತ್‌ಡ್ ಆವೊಡಾಪುನ ಬೇಲೆದ ಬಗೆಟ್ ಬರೆದ್ ದೀಡ್‍ಲೆ.
Nagotsav is not necessary for the pretence of giving tamarind to a Naga.,ನಾಗಗ್ ತಂಬಿಲ ಕೊರುಕ ಆಡಂಬರೊಗು ಬೋಡಾದ್ ನಾಗೋತ್ಸವ ಬೊಡ್ಚಿ
"Panchatattam means fire, air, earth, sky, water.",ಪಂಚ ತತ್ವನ್ ಪಂಡ ಕನ್ನಡೊದ ಅಗ್ನಿ ವಾಯುತತ್ವ ಪೃಥ್ವಿ ತತ್ವ ಆಕಾಶ ತತ್ವ ಜಲತತ್ವ
The symbol misbehaves,ಪ್ರತೀಕೆ ಚೇಷ್ಟೆ-ಮಲ್ಪುವೆ
The Faith Is Traveling,ವಿಶ್ವಾಸೆ  ಪ್ರಯಾಣ-ಮಲ್ತೊಂದುಲ್ಲೆ
Achyuta is facing,ಅಚ್ಯುತೆ   ಎದುರಿಸವೊಂದುಲ್ಲೆ
She was brought to the KMC Hospital in Mangalore after bleeding profusely in the afternoon.,ಪೆದ್ದ್ ನಗ ಆರೋಗ್ಯವಾದಿತ್ತಿನ ಮೆರೆಗ್ ಮಧ್ಯಾಹ್ನದ ಪೊರ್ತು ಬಾರಿ ನೆತ್ತೆರ್ ಪೋಯಿನೆರ್ದಾವರ ಅರೆನ್ ಕುಡ್ಲದ ಕೆಎಂಸಿ ಆಸ್ಪತ್ರೆಗೆ ಲೆತೊಂದು ಬತ್ತಿತ್ತೆರ್.
It is called gargling.,ಉಂದೆಕ್ಕ್ ಪೂಸೀರೆ ಕೊರ್ಪಿನಿ ಪನ್ಪೆರ್
"Renuka, a woman who regularly practices yoga on the beach in the morning, had a dream to excel in yoga.",ಕಾಂಡೆದ ಪೊರ್ತುಡು ಕಡಲ ಬರಿಟ್ ನಿರಂತರ ಯೋಗಾಭ್ಯಾಸ ಮಲ್ಪುನ ರೇಣುಕಾ ಪನ್ಪಿನ ಪೊಂಜೊವ್ ಯೋಗಡ್ ಸಾಧನೆ ಮಲ್ಪೊಡು ಪನ್ಪಿನ ಕನ ಕಟ್ಟ್ದ್ ಇತ್ತೆರ್.
Nidheesh was poor,ನಿಧೀಶೆ  ಬಡವೆಯಾದಿತ್ತೆ
Dileep is roaring,ದಿಲೀಪೆ  ಬೊಬ್ಬೆಪಾಡೊಂದುಲ್ಲೆ
It's very expensive to carve a tree.,ಮರಕ್ಕ್ ಕೆತ್ತುನೆಕ್ಲಾ ಬಾರಿ ಬಿಲೆಗೆ
Do you know what she said?,ದಾದ ಪಂತಲ್ ಗೊತ್ತುಂಡ
The policy of the government is that the one who stays in the later days should leave the field.,ಬೊಕ್ಕದ ದಿನೊಟ್ಟ್ ಉಳುವವನೇ ಹೊಲದೊಡೆಯ ಪನ್ಪಿನ ಸರಕಾರೊದ ನೀತಿ
"As darkness fell, the king had to cross the river and reach the palace",ಕತ್ತಲೆ ಆವೊಂದ್ ಬನ್ನಗ ರಾಜಗ್ ಸುಧೆ ಕಡತ್ ದ್ ಅರಮನೆ ಗ್ ಪೋವೊಡೆ ಇತ್ತ್ಂಡ್
"On Tuesday, he held a discussion with the officials of the department at Vidhana Soudha and said that the exam date will be announced 15-20 days before the start of the exam.",ಅಂಗಾರೆ ವಿಧಾನಸೌಧಡ್ ಇಲಾಖೆದ ಅಧಿಕಾರಿನಕ್ಲೆನೊಟ್ಟಿಗೆ ಚರ್ಚೆ ಮಲ್ತಿನ ಬೊಕ್ಕ ಪಾತೆರಿನ ಮೇರ್ ಪರೀಕ್ಷಾ ತಾರೀಖ್ ನ್ ಪರೀಕ್ಷೆ ಸುರು ಆಪಿನ 15-20 ದಿನತ ದುಂಬೇ ಪ್ರಕಟ ಮಲ್ಪುವ ಪಂದ್  ಪಂಡೆರ್ .
We'll know if we know what it's going to hit the ground running.,ದಾದ ಉಂದು ನೆಲಕೈ ಅಕುನಿ ಪಂಡುದ್ ತೆರಿಯೊಂದು ಪೊಂಡ ನಂಕ್ ಗೊತ್ತಾಪುಂಡು
We have moved away from life and come to mechanical and technical life.,ಜೀವನರ್ದ್ ದೂರ ಪೊದು ಯಾಂತ್ರಿಕ ಬೊಕ್ಕ ತಾಂತ್ರಿಕ ಜೀವನಗ್ ಬೈದ
"Manu, who climbed the ladder, did not slip away and became a new light in Pushpa's life.",ಜೇರೊ ಬರ್ತಿನ ಮನು ಜಾರ್ಜೆ ಪುಷ್ಪನ ಬದ್ಕ್ಀಗ್ ಬೊಸ ಬೊಲ್ಪಾಯೆ
Anuj leaves,ಅನುಜೆ ಬುಡ್ಪೆ
Doing this will make a very nice bouquet.,ಇಂಚ ಮಲ್ತುದ್ ಬಾರಿ ಪೊರ್ಲು ಪೂಕರೆ ಮಲ್ಪುವೆರ್
He said as he entered the house.,ಸುಮತಿಯಕ್ಕನ ಮಿತ್ತ್ ನಂಜಿ
Don't ask for a little help from someone who is proud,ಗರ್ವ ಇತ್ತಿನಕೆಲಡ ಎಲ್ಯ ಸಾಯ ಕೇಣಡೆ
Jagdish is unintelligent,ಜಗದೀಶೆ ಬುದ್ಧಿಹೀನೆಯಾತೆ
"Anyway, my brother.",ಆಂಡ್ ಎಂಚಾಲ ತಗೆ
"Earlier, the yard had a daily dung-sweeping system",ದುಂಬು ಜಾಲುಗ್ ದಿನೊಲಾ ಅಂಬಿ ಅಡ್ಪುನ ಕ್ರಮ ಇತ್ತುಂಡು
Mohan forgets the way,ಮೋಹನೆ ಸಾದಿನ್ ಮದತ್‍ದೆ
Jayaraj sings well.,ಜಯರಾಜೆ ಎಡ್ಡೆ ಪದ ಪನ್ಪೆ
Aruna worships the goddess,ಅರುಣೆ ದೇವಿನ ಆರಾಧನೆ ಮಲ್ಪುವೆ
Being a bride means that the woman is ready for the act of creation.,ಮದ್ಮಲ್ ಆಪಿನಿ ಪಂಡ ಪೊಣ್ಣು ಸೃಷ್ಟಿ ಕ್ರಿಯೆಕ್ಕ್ ಅನು ಆಯೊಲುಂದು ಲೆಕ್ಕ
The coordinator said that this also helped the farmers of Shankarpur jasmine who were in distress to some extent.,ಈ ಮುಖೇನ ಸಂಕಷ್ಟಡ್ ಉಪ್ಪುನ ಶಂಕರಪುರ ಮಲ್ಲಿಗೆ ಬುಲೆಗಾರೆರೆಗ್ಲಾ ಒಂತೆ ಸಾಕಾರ ಕೊರಿಲಕ ಆಂಡ್ ಪಂದ್ ಸಂಯೋಜಕೆರ್ ತೆರಿಪಾಯೆರ್ .‌
Advika is dressed-up,ಅದ್ವಿಕೆ  ಕುಂಟು-ಪಾಡ್ದೆ
Gangu Baidedi's son Kanthu Baidedi Okal Sakekel,ಗಂಗು ಬೈದೆದಿ ಮಗೆ ಕಾಂತು ಬೈದನ್ ಒಕ್ಕೆಲ್ ಸಕ್ಕೆಲ್
"In this special pooja, on the occasion of the 21st year of the marriage of the temple's co-worker Usha Dinesh Shettygar and the 16th year of the marriage of the vice-president Gunakant Bharathi Shetty Karje, the honorable president Vinod Waghshiya honored the temple by offering puja prasad with a shawl.",ಈ ವಿಶೇಷ ಪೂಜೆಡ್ ಮಂದಿರದ ಜತೆ ಕಾರ್ಯದರ್ಶಿ ಉಷ ದಿನೇಶ್ ಶೆಟ್ಟಿಗಾರ್ ಮೆರೆನ ಮದಿಮೆದ 21ನೇಯ ವರ್ಷ ಬೊಕ್ಕ ಒತ್ತು ಗುರ್ಕಾರ್ಲಾಯಿನ ಗುಣಕಾಂತ್ ಭಾರತಿ ಶೆಟ್ಟಿ ಕರ್ಜೆ ಮೆಕ್ಲೆನ 16 ನೇ ಮದಿಮೆದ ವರ್ಷದ ಲೆಕ್ಕಡ್ ಮಂದಿರಡ್ ವಿಶೇಷ ಪೂಜೆ ಮಲ್ತಿನ ಪೊರ್ತುಡು ಗೌರವ ಗುರ್ಕಾರ್ಲಾಯಿನ ವಿನೋದ್ ವಾಘಷಿಯ ಮೇರ್ ಶಾಲು ಪಾರ್ದ್ ಪೂಜೆದ ಪ್ರಸಾದ ಕೊರ್ದು ಮಾನದಿಗೆ ಮಲ್ತೆರ್ .
"In the kingdom of Balipa, Deva Jumadi took the command of the god Adinatheshwara and set out.",ಬಲಿಪ ರಾಜ್ಯೊಡು ಆದಿನಾಥೇಶ್ವರ ದೇವೆರೆ ಅಪ್ಪಣೆನ್ ಪತ್ತೊಂದು ದೈವ ಜುಮಾದಿ ಪಿದಾಡುವೆ
This has resulted in huge losses to public and private property.,ನೇರ್ದಾವರ ಸಾರ್ವಜನಿಕ ಬೊಕ್ಕ ಖಾಸಗಿ ಆಸ್ತಿಪಾಸ್ತಿಲೆಗ್ ಬಾರಿ ನಷ್ಟ ಆತುಂಡು .
God asks for water.,ಇರೆಗ್ ದಾದ ಬೋಡು ಪಂದ್ ಗುತ್ತುದ ಇಲ್ಲದಕುಲು ಕೇನುವೆರ್
The year 2017 for Tulu begins on the day of Vishu festival (Solar Yugadi) in the month of Chaitra.,ತುಳುವೆರೆಗ್ ೨೦೧೭ನೆ ವರ್ಸೊ ಸುರು ಆಪುನೆ ಪಗ್ಗು ತಿಂಗೊಳ್ದ ಬಿಸುಡ್ದು ಬುಕ್ಕೊ.
"Necessary artists can contact the office bearers of Mobile 9164521588, or 7411161662 and nearby Patla Foundation unit by 10th May to register their name, address and name of the fair, said K. Purushottam Bhandari Adyar, General Secretary, Yakshadruva Patla Foundation Trust, in a release.","ಅವಶ್ಯ ಉಪ್ಪುನ ಕಲಾವಿದೆರ್ ಮೊಬೈಲ್ 9164521588 ,ಅತ್ತುಂಡ 7411161662 ಬೊಕ್ಕ ಕೈತಲ್ ದ ಪಟ್ಲ ಫೌಂಡೇಶನ್ ಘಟಕದ ಪದಾಧಿಕಾರಿಲೆನ್ ಮೇ 10 ತಾರೀಖ್ ದ ಉಲಯಿ ಸಂಪರ್ಕ ಮಲ್ತ್ ದ್ ಅಕ್ಲೆನ ಪುದರ್ ಹೆಸರು, ವಿಳಾಸ ಅಂಚನೇ ಮೇಳದ ಪುದರ್ ನೋಂದಾವನೆ ಮಲ್ಪೋಲಿ ಪಂದ್ ಯಕ್ಷಧ್ರುವ ಪಟ್ಲ ಫೌಂಡೇಶನ್ ಟ್ರಸ್ಟ್ದ ಪ್ರಧಾನ ಕಾರ್ಯದರ್ಶಿ ಕೆ. ಪುರುಷೋತ್ತಮ ಭಂಡಾರಿ ಅಡ್ಯಾರ್ ಪ್ರಕಟಣೆಡ್ ತೆರಿಪಾದೆರ್ ."
"When he peeps into a bowl full of kale, he sees a frown.",ಕಲಿ ದಿಂಜಿ ಕುಜಿಲಿನ್ ನಿಲ್ಕುದ್ ತೂನಗ ನೆತ್ತೆರ ಒಕುಲಿ ಅಯಗ್ ತೊಜಿಂಡ್
Then Mani again shouted loudly and called out to Lord Brahma.,ಅಪಗ ಮಾನಿ ಬೊಕ್ಕಲಾ ಜೋರಾದ್ ಗೊಬ್ಬೆ ದೀದ್ ಬ್ರಹ್ಮ ದೇವೆರೆನ್ ಲೆತ್ ಕೆನಿಯೆ
Brahma decided that I needed strength like you.,ಈ ರಾಜ್ಯೊಡ್
He began to do,ಸುಮತಿಯಕ್ಕ ಪೆದ್ದುನ ತೋಜುಜಿ
Serve chilled with jackfruit.,ಪೆಲಕಾಯಿದ ಗಾರ್ಯೊ ಮಲ್ತ್ ಬಲಸುನೆ
Narayan reads the lesson,ನಾರಾಯಣೆ ಪಾಠ ಓದುವೆ
"As part of the first meeting of the family, a cultural programme comprising dance, music, orchestra, talent show was held.","ಕುಟುಂಬದ ಸುರೂತ್ತ ಕೂಟದ ಅಂಗವಾದ್ ಬಯ್ಯಡ್ ಸಾಂಸ್ಕೃತಿಕ ಕಾರ್ಯಕ್ರಮೊಡು ನೃತ್ಯ, ಸಂಗೀತ, ವಾದ್ಯವೃಂದ, ಪ್ರತಿಭಾ ಪ್ರದರ್ಶನ ನಡತ್ಂಡ್."
Very happy for her and her family.,ಅಲೆಗ್ಲಾ ಇಲ್ಲದಕಲೆಗ್ಲಾ ಮಸ್ತ್ ಖುಷಿತ ವಿಚಾರ
Anoop sings,ಅನೂಪೆ  ಪನ್ಪೆ
The father who was born at that time was also not present.,ಆ ಪೊರ್ತುಡು ಪುಟ್ಟಾಯಿ ಅಮ್ಮೆಲಾ ಎದುರು ಇಜ್ಜಂಡು
Rama blames,ರಾಮೆ  ದೂಷಣೆ-ಮಲ್ಪುವೆ
Shankar is choosing,ಶಂಕರೆ  ಅಜತೊಂದುಲ್ಲೆ
The application goes,ಅನ್ವಯೆ  ಪೋಪೆ
Now those who are hurt by injustice will come together,ಇತ್ತೆ ಅನ್ಯಾಯೊಗು ಪೆಟ್ಟು ತಿಣ್ಪಿನಕುಳು ಒಟ್ಟಾಪೆರು
"We had to sit at home for a week, unable to stand in front of the gods and goddesses for a minute.",ಒಂಜಿ ನಿಮಿಷ ದೇವೆರೆನ ದೈವೊಲೆನ ಎದುರು ಉಂತರೆ ಪುರುಸೊತ್ತು ಇಜ್ಜಾಂದಿನ ನಮಕ್ ವಾರ ಗಟ್ಟಲೆ ಇಲ್ಲಡ್ ಕುಲ್ಲೊಡಾಂಡ್
Brahma created Tulunad in the midst of seven seas.,ಏಳ್ ಕಡಲ್ದ ನಡುಟು ಉಂಡಾಯಿನ ಬೆರ್ಮೆರ್ ತುಳುನಾಡ್ನ್ ಉಂಡು ಮಲ್ತೆರ್
There should be no shortage of such rice.,ಅಂಚಿನ ಅರಿ ಕಡಮೆಯಾವೆರೆ ಬಲ್ಲಿ
"As the light flashes, Kalamma steps towards Karkala to seek her mother's blessings and meet her brother.",ಬೊಲ್ಪಾಯಿನ್ನೇ ಅಪ್ಪೆಡ ಅನುವು ಗೆತೊಂದು ಪಲಯನ್ ತೂಯೆರೆ ಕಾರ್ಲದಂಚಿ ಪಿದಡುವಲ್ ಕಾಳಮ್ಮ
Akshaya writes,ಅಕ್ಷಯೆ  ಬರೆಪೆ
An initial demonstration will be held at the hospital on Tuesday.,ಅಂಗಾರೆ ಆರಂಭಿಕ ಪ್ರಾತ್ಯಕ್ಷಿತೆನ್ ಆಸ್ಪತ್ರೆಡ್ ನಡಪಾವೊಂದು ಉಲ್ಲೆರ್.
He got down from the tree in a hurry and came home and gathered the people.,ಪಂಡೊಂದು ಬೆಜಾರ್ಡ್ ಮರರ್ದ್ ಜತ್ತ್ ದ್ ಇಲ್ಲಗ್ ಬತ್ತುದ್ ಜನಮಾನಿನ್ ಸೆರಯೆ
The existing ventilator system at the District Wenlock Hospital in Mangalore is not enough.,ಕುಡ್ಲದ ಜಿಲ್ಲಾ ವೆನ್‌ಲಾಕ್‌ ಆಸ್ಪತ್ರೆಡ್ ಇತ್ತೆ ಉಪ್ಪುನ ವೆಂಟಿಲೇಟರ್ ವ್ಯವಸ್ಥೆ ದಾಲಾ ಯಾವುಜಿ.
It's a city that doesn't have a big wind of writing.,ಬರವುದ ಮಲ್ಲಗಾಲಿ ಬೀಜಂದಿ ಊರು ಅವ್ವಾ
Sarvesh makes war,ಸರ್ವೇಶೆ ಲಡಾಯಿ-ಮಲ್ಪುವೆ
"If a cat is killed, the killer's head is always shaken.",ಪುಚ್ಚಿನ್‌ ಕೆರ್‌ಂಡ ಕೆರಿನಾಯನ ತೆರೆ ಏಪೊಲಾ ಆಡೊಂದುಪ್ಪುಂಡ್‌
Let's be happy,ಖುಷಿ ಆವಡ್ ಪಂದ್
Akulu is thanking him,ಅಕುಲೆ ಆಯಗ್ ಸೊಲ್ಮೆ ಸಂದಯ್‍ತ ಮಲ್ತೊಂದುಲ್ಲೆ
Spilling rice on the mind,ಉಡಲುಗ್ ಅರಿ ಬಿರ್ಕುನ ಪನೊಲಿ
Why do we have memories of the past?,ಪರ ನೆಂಪುಲೆನ ಮಂಡೆ ಬೆಚ್ಚ ನಂಕ್ ದಾಯೆ
Nanjunda drives the car,ನಂಜುಡೆ ಕಾರ್ ಬುಡ್ಪೆ
Deleting previous actions,ದುಂಬುದ ಕ್ರಮಕುಲ್ ಮಾಜೊಂದು ಬೈದುಂಡು
Ashwath is flowing,ಅಶ್ವಥೆ  ಪರ್ತೊಂದುಲ್ಲೆ
"Due to the second wave of Corona, lockdown, curfew, now the blood collection rate has reduced by 50 percent.","ಕೊರೊನಾ ರಡ್ಡನೆ ಅಲೆ, ಲಾಕ್ ಡೌನ್, ಕರ್ಫ್ಯೂರ್ದಾವರ ಇತ್ತೆ ನೆತ್ತೆರ್ ದ ಸಂಗ್ರಹ ಪ್ರಮಾಣ ಶೇಕಡಾ 50 ದಾತ್ ಕುಗ್ಗು ದುಂಡು."
Kartik is choosing,ಕಾರ್ತಿಕೆ  ಅಜತೊಂದುಲ್ಲೆ
"It is said that in the case of romance, the festival of Chanda Kalpana came into being.",ಪ್ರಣಯ ಪ್ರಕರಣೋಡು ಈ ಪೊರ್ಲು ಕಲ್ಪನೆದ ಪರ್ಬ ಆಚರಣೆಗು ಬತ್ತುನು ಇಂದುದು ಪಣ್ಪೆರು
There is still a cowshed and a cart,ಇತ್ತೆಲಾ ಬೋರಿದ ಕೊಟ್ಯಲಾ ಉಂಡು ಗಾಡಿಲಾ ಉಂಡು
"Blossom for the ball, scent for the beautiful flower again",ಗೊಂಡೆ ಪೂವು ಬಾರಿ ಪೊರ್ಲುದ ಪೂವು ಬೊಕ್ಕ ಬಾರಿ ಪರಿಮಳ
The publication is grumbling,ಪ್ರಕಾಶೆ  ಬೊಬ್ಬೆಪಾಡೊಂದುಲ್ಲೆ
"If it comes in that month, it is served back and forth.",ಆ ತಿಂಗೊಲ್ಗ್ ಬತ್ತುಂಡ ದುಂಬು ಪಿರ ಬಲಸುವೆರ್
The Faith Is Wanting,ವಿಶ್ವಾಸೆ  ಬಯಕೊಂದುಲ್ಲೆ
Caitanya takes over,ಚೈತನ್ಯೆ ಆ ಕಂಪೆನಿನ್ ಆಯನ್ ವಶೊಕು ಪಡೆಯೊನುವೆ
mithun is playing,ವಿಥುನೆ ಪನೊಂದುಲ್ಲೆ
Carrying a cradle in the head of a workhorse,ಚಾಕಿರಿದ ದಾರುನ ತರೆಟ್ ತೊಟ್ಟಿಲ ಬಾಲೆ ತುಂಬಾವೊಂದು
So that's never going to happen.,ಅಂಚದ್ ಅವು ಯೆಪೊಗುಲಾ ಅಪುಜಿ
He takes everything and puts on a suitcase and shakes the bed.,ಮಾತ ಕೊನೆದು ಬತ್ತುದು ತೂಟಾನು ಪಾಡ್ಡು ಕೊರ್ದು ಬೇಡನು ಚಳಿಕಾಯ್ಪವೆ
